endpoint,vus,qps,p95_ms,avg_ms,http_fail_rate,business_fail_rate,request_count
"vehicles",10,96.8167636052745,3.6259499999999996,2.4525775510204078,0,0,490
"vehicles",50,484.00310473175267,5.9432,2.577884081632652,0,0,2450
"vehicles",100,954.9085140780378,11.8531,3.0526546201232017,0,0,4870
"vehicles",200,1922.6011773774192,12.482749999999992,3.172468265306118,0,0.004285714285714286,9800
"shipments",10,93.80799379829367,8.2452,5.828174468085105,0,0,470
"shipments",50,467.6810995092485,12.387749999999999,5.653025146689032,0,0,2386
"shipments",100,949.7195426843667,14.281999999999996,4.418583780437476,0,0,4846
"shipments",200,1924.5864544855924,8.789249999999997,3.416971428571441,0,0.005510204081632653,9800
"report",10,93.56320951271086,8.27955,6.062634042553196,0,0,470
"report",50,449.2551314821968,47.86035,10.717118489583344,0,0.12152777777777778,2304
"report",100,927.428023584567,31.156,7.028398228221898,0,0.1282429867116642,4741
"report",200,1744.8055744930664,63.668099999999995,12.598823115577872,0,0.1461753210496929,8955
